央视频道,#genre#
河南卫视,http://ms.fxim.net:808/hls/32/index.m3u8

港澳频道,#genre#
凤凰电影,http://quan2018.mycloudnas.com:51888/play/a017/index.m3u8
凤凰中文,http://quan2018.mycloudnas.com:51888/play/a012/index.m3u8
凤凰资讯,http://quan2018.mycloudnas.com:51888/play/a015/index.m3u8
星空卫视,http://quan2018.mycloudnas.com:51888/play/a016/index.m3u8
音乐[V],http://quan2018.mycloudnas.com:51888/play/a011/index.m3u8
channel V台,http://xnbl.jydjd.top:2901/udp/224.1.100.13:11111
HBO,http://ali.hlspull.yximgs.com/live/huanqiuhktvmqqlqpwqjctjfhjvqjqjuqlvcbeyweqweefshqfhhqsqqcxhbo.flv
东森洋片,http://50.7.234.10:8278/ettvwestern/playlist.m3u8?tid=MB7B8303252483032524&ct=19249&tsum=14f89967cdf6c504230be29a87cc54f0
龙祥电影台,http://ali.hlspull.yximgs.com/live/huanqiuhktvmqloehqbqqqpvboyjetqewsqhthqyuqfqwetyqqqhflxsq.flv
翡翠台,https://bxtvcdn.587788.xyz/stream/bxtv/null/master.m3u8?u=xiaojia&p=edae81555a120d107ce989b744c762c7031a03490a7cb78b3613ab6d7b947ceb
凤凰资讯,https://ali.hlspull.yximgs.com/live/qq491695550-fh.flv
天映经典,http://ali.hlspull.yximgs.com:80/live/huanqiuhktvvcnyjsqfqsetqqfcvbcjtsqqfvxcvsqnmbnlqqhqqnmyhsqqftyjq.flv
龙祥时代电影,http://ali.hlspull.yximgs.com:80/live/huanqiuhktvmqloehqbqqqpvboyjetqewsqhthqyuqfqwetyqqqhflxsq.flv
龙华洋片台,http://ali.hlspull.yximgs.com:80/live/huanqiuhktvqeqcxlvofbqbvbqqqfqvqhslcfvxcvxsqbcvqfjvsfcbqbnqtyxty.flv
CineMax电影台,http://ali.hlspull.yximgs.com:80/live/huanqiuhktvqeqcxlvofbqbvbqqqbvyvblcfybqxjbcqcfjvsfcbqbnqtcqnemqx.flv
翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
1905电影A,https://tv.myukj.cn/1905.php?id=1905a
1905电影B,https://tv.myukj.cn/1905.php?id=1905b
CHINA MOVIE,http://106.53.99.30/dl/chinamovie.m3u8

电影频道,#genre#
CHC影迷电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcymdy
CHC动作电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcdzdy
CHC家庭影院,http://php.jdshipin.com/TVOD/iptv.php?id=chcjtyy
CHC高清电影,http://27.17.111.252:8118/udp/239.69.1.241:11088
CHC动作电影,http://27.17.111.252:8118/udp/239.69.1.242:11094
CHC家庭影院,http://27.17.111.252:8118/udp/239.69.1.243:11100
CHC动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
CHC家庭影院,http://fxgm.fxjf.work:19901/tsfile/live/1014_1.m3u8
CHC影迷电影,http://fxgm.fxjf.work:19901/tsfile/live/1016_1.m3u8
CHC影迷电影,http://149.88.85.102:1354/cqyx.php?id=chcgq
CHC动作电影,http://149.88.85.102:1354/cqyx.php?id=chcdz
CHC家庭影院,http://149.88.85.102:1354/cqyx.php?id=chcjt
CHC影迷电影,http://tvbox6.icu/tv/iptv2.php?id=88

NewTv,#genre#
NewTv爱情喜剧,http://yc.myds.me:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
NewTv超级电视剧,http://yc.myds.me:35455/itv/1000000006000268003.m3u8?cdn=ystenlive
NewTv超级电影,http://yc.myds.me:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
NewTv超级体育,http://yc.myds.me:35455/itv/1000000001000009601.m3u8?cdn=ystenlive
NewTv超级综艺,http://yc.myds.me:35455/itv/1000000006000268002.m3u8?cdn=ystenlive
NewTv潮妈辣婆,http://yc.myds.me:35455/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTv东北热剧,http://yc.myds.me:35455/itv/1000000005000266013.m3u8?cdn=ystenlive
NewTv动作电影,http://yc.myds.me:35455/itv/1000000004000018653.m3u8?cdn=ystenlive
NewTv古装剧场,http://yc.myds.me:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTv欢乐剧场,http://yc.myds.me:35455/itv/1000000005000266012.m3u8?cdn=ystenlive
NewTv家庭剧场,http://yc.myds.me:35455/itv/1000000004000008284.m3u8?cdn=ystenlive
NewTv金牌综艺,http://yc.myds.me:35455/itv/1000000004000026167.m3u8?cdn=ystenlive
NewTv惊悚悬疑,http://yc.myds.me:35455/itv/1000000004000024282.m3u8?cdn=ystenlive
NewTv军旅剧场,http://yc.myds.me:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
NewTv军事评论,http://yc.myds.me:35455/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTv魅力潇湘,http://yc.myds.me:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTv明星大片,http://yc.myds.me:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
NewTv农业致富,http://yc.myds.me:35455/itv/2000000003000000003.m3u8?cdn=hnbblive
NewTv武博世界,http://yc.myds.me:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
NewTv炫舞未来,http://yc.myds.me:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
NewTv怡伴健康,http://yc.myds.me:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
NewTv中国功夫,http://yc.myds.me:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
NewTv黑莓电影,http://yc.myds.me:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
NewTv黑莓动画,http://yc.myds.me:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
NewTv哒啵电竞,http://yc.myds.me:35455/itv/1000000006000032327.m3u8?cdn=ystenlive
NewTv哒啵赛事,http://yc.myds.me:35455/itv/1000000001000003775.m3u8?cdn=ystenlive
